b;rynna 3mb;48.74;;;;;;;
b;rynna 4mb;64.98;;;;;;;
b;rura spustowa 1mb;21.91;;;;;;;
b;rura spustowa 3mb;64.55;;;;;;;
b;łącznik rynny;10.4;;;;;;;
b;łącznik rynny z klamrą;13.76;;;;;;;
b;denko rynny;8.3;;;;;;;
b;hak doczołowy;7.25;;;;;;;
b;hak dokrokwiowy 70mm;8.3;;;;;;;
b;hak dokrokwiowy 160mm;9.98;;;;;;;
b;hak dokrokwiowy 210mm;10.4;;;;;;;
b;hak łączony 70mm;8.09;;;;;;;
b;hak łączony 160mm;9.77;;;;;;;
b;hak łączony 210mm;10.29;;;;;;;
b;sztucer 125/90;43730;;;;;;;
b;sztucer 125/100;20.95;;;;;;;
b;narożnik wewnętrzny 90;57.15;;;;;;;
b;narożnik zewnętrzny 90;57.15;;;;;;;
b;narożnik wewnętrzny 135;136.62;;;;;;;
b;narożnik zewnętrzny 135;136.62;;;;;;;
b;narożnik wew Dowolny;136.62;;;;;;;
b;narożnik wew Dowolny;136.62;;;;;;;
b;kolano 60;19.85;;;;;;;
b;złączka rury spustowej;16.25;;;;;;;
b;obejma rury spustowej;7.88;;;;;;;
b;trójnik 60;118.62;;;;;;;
b;łapacz deszczówki;172.38;;;;;;;
b;wylewka;23.26;;;;;;;
b;śruba do obejmy 100;1.56;;;;;;;
b;śruba do obejmy 160;2.61;;;;;;;
b;śruba do obejmy 250;4.62;;;;;;;
b;śruba do obejmy 300;7;;;;;;;
b;uszczelniacz;19.9;;;;;;;
b;szczypce;27.2;;;;;;;
b;lakier 12 ml;12.5;;;;;;;