Wspornik łaty kalenicowej gwóźdź 210mm ocynk ogniowy;0.83;200;1.25;1
Wspornik łaty kalenicowej gwóźdź 230mm ocynk ogniowy;0.99;200;1.25;1
Wspornik łaty kalenicowej typu BL - blaszka;1;200;1.25;1
Wspornik łaty kalenicowej gwóźdź 210mm ocynk galwaniczny;0.75;200;1.25;1
Wspornik łaty kalenicowej gwóźdź do 260mm ocynk ogniowy;0.99;200;1.25;1
Taśma do obróbki komina aluminiowa Eurotec Classic;9.9;200;1;1
Taśma do obróbki komina aluminiowa Eurotec Fortis AL;9.9;200;1;1
Taśma do obróbki komina ołowiana Eurotec PB3;21.5;200;1;1
Taśma do obróbki komina ołowiana Eurotec PB;24.6;200;1;1
Taśma do obróbki komina ołowiana Eurotec Fortis PB;24.6;200;1;1
Taśma do obróbki komina ołowiana Eurotec N;29;200;1;1
Listwa wykończeniowa aluminiowa;6.5;200;0.5;1
Kosz dachowy aluminiowy 2mb;28;100;0.51;1
Kosz dachowy aluminiowy 6mb rolka;84;100;0.51;1
Klamra do mocowania kosza;0.2;200;0.5;6.2
Samoprzylepny klin uszczelniający kosz 60 mm;0.75;200;1;1
Taśma samorozprężna 20x6/50;21.51;200;2;1
Taśma samorozprężna 20x8/40;23.66;200;2;1
Grzebień okapowy płaski ECO 55;0.75;200;1;1
Grzebień okapowy płaski 55;0.86;200;1;1
Grzebień okapowy z kratką wentylacyjną;1.94;200;1;1
Okapowa kratka wentylacyjna;2.09;200;1;1
Kratka zabezpieczająca przed ptactwem 80mm;0.93;200;1;1
Kratka zabezpieczająca przed ptactwem 100mm;1.56;200;1;1
Pas okapowy aluminiowy;12.37;200;0.51;1
Pas okapowy w rolce 10mb aluminiowy ;26.88;200;0.51;1
Klamra do gąsiora betonowego;0.25;200;2.5;1
Klamra do gąsiora Tondach/Meindl, Röben/Jungmeier i Rupp Sattel/ Konisch;0.31;200;2.5;1
Klamra do gąsiora Koramic karpiówka nr 1, nr 2, nr 3, W11, GE20, Erlus 18, Bogen nr 1, nr 2;0.49;200;2.5;1
Klamra do gąsiora Meyer Holsen;0.81;200;2.5;1
Spinka do dachówki cementowej U (opak. 100 szt);4.52;200;0.02;0.1
Spinka boczna do dachówki cementowej (opak. 250 szt) NORD II , NORD III;26.88;200;0.02;0.1
Spinka uniwersalna do dachówki ceramicznej (opak. 250 szt) MD-1.416,MD-PL;33.6;200;0.02;0.1
Spinka uniwersalna do dachówki ceramicznej (opak. 100 szt) MD-R30, MD-R32;16.13;200;0.02;0.1
Spinka boczna 1.409 do dachówki (opak. 100 szt) Creaton, Koramic, Roben, cementowa;20.43;200;0.02;0.1
Spinka do dachówki ciętej (opak. 100 szt) mdm ;1.02;120;6;0.1
Spinka do dachówki ciętej (opak. 100 szt) Braas;1.45;120;6;0.1
Ława kominiarska stalowa komplet 0,4m DB/DC kolor;61.36;80;1;1
Ława kominiarska stalowa komplet 0,8m DB/DC kolor;75.8;80;1;1
Ława kominiarska stalowa komplet 0,4m karp kolor;61.36;80;1;1
Ława kominiarska stalowa komplet 0,8m karp kolor;75.8;80;1;1
Ława kominiarska stalowa komplet 0,4m BD kolor;45.76;80;1;1
Ława kominiarska stalowa komplet 0,8m BD kolor;60.2;80;1;1
Ława kominiarska stalowa komplet 0,4m L kolor;56.96;80;1;1
Ława kominiarska stalowa komplet 0,8m L kolor;71.4;80;1;1
Stopień kominiarski;30.4;200;1;1
Płotek przeciwśniegowy 155 mm x 2 mb / 3 wsporniki ocynk;39.84;120;1;1
Płotek przeciwśniegowy 155 mm x 2 mb / 3 wsporniki kolor;48.5;120;1;1
Płotek przeciwśniegowy 155 mm x 3 mb / 4 wsporniki kolor;56.1;120;1;1
Płotek przeciwśniegowy 155 mm x 3 mb / 4 wsporniki ocynk;46.54;120;1;1
Membrana dachowa Ventia Iron 120;2.04;100;1.1;1
Membrana dachowa Ventia Cobalt 170;3.04;100;1.1;1
Membrana Vaxo L;1.75;100;1.1;1
Membrana Permo forte Klober;4.79;100;1.1;1
Membrana Vaxo S;1.46;100;1.1;1
Taśma do łączenia membran i folii Ventia 20mmx25m;10.5;150;1;1
Taśma do łączenia membran i folii Ventia 50mmx25m;33;150;1;1
Taśma monażowa jednostronna Permo TR 60mmx25m;45.33;150;1;1
Taśma reperacyjna Ventia i Vaxo 100mmx25m;21;200;1;1
Taśma reperacyjna Ventia i Vaxo 50mmx25m;42.5;200;1;1
Blacha aluminiowa 0,58 - arkusze 1000 x 2000;48.5;100;1;1
Blacha aluminiowa 0,58 - kręgi ok. 1000kg;14.5;100;1;1
Blacha aluminiowa 0,48 - arkusze 1000 x 2000;46;100;1;1
Cegła klinkierowa;3.57;200;250;1
Podbitka;8.5;200;1;1